table,text,translation
SHIELD,{SINGULAR},{SINGULAR}
SHIELD,{PLURAL},{PLURAL}
SHIELD:SINGULAR:^0,{:SHIELD:PREFIX},{:SHIELD:PREFIX}
SHIELD:SINGULAR:^0,,
SHIELD:SINGULAR:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
SHIELD:SINGULAR:^1,,
SHIELD:SINGULAR,{:SHIELD:NOUN:SINGULAR},{:SHIELD:NOUN:SINGULAR}
SHIELD:PLURAL:^0,{:SHIELD:PREFIX},{:SHIELD:PREFIX}
SHIELD:PLURAL:^0,,
SHIELD:PLURAL:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
SHIELD:PLURAL:^1,,
SHIELD:PLURAL,{:SHIELD:NOUN:PLURAL},{:SHIELD:NOUN:PLURAL}
SHIELD:PREFIX,,
SHIELD:NOUN:SINGULAR,shield,尖盾
SHIELD:NOUN:SINGULAR,buckler,圆盾
SHIELD:NOUN:PLURAL,shields,尖盾
SHIELD:NOUN:PLURAL,bucklers,圆盾
